date,member_name,is_present
2020-09-02,Tan Chuan-Jin,True
2020-09-02,Ang Wei Neng,True
2020-09-02,Baey Yam Keng,True
2020-09-02,Chan Chun Sing,True
2020-09-02,Cheryl Chan Wei Ling,True
2020-09-02,Chee Hong Tat,True
2020-09-02,Cheng Li Hui,True
2020-09-02,Edward Chia Bing Hui,True
2020-09-02,Chong Kee Hiong,True
2020-09-02,Desmond Choo,True
2020-09-02,Eric Chua,True
2020-09-02,Chua Kheng Wee Louis,True
2020-09-02,Darryl David,True
2020-09-02,Christopher de Souza,True
2020-09-02,Foo Mee Har,True
2020-09-02,Grace Fu Hai Yien,True
2020-09-02,Gan Kim Yong,True
2020-09-02,Gan Siow Huang,True
2020-09-02,Gan Thiam Poh,True
2020-09-02,Gerald Giam Yean Song,True
2020-09-02,Derrick Goh,True
2020-09-02,He Ting Ru,True
2020-09-02,Heng Chee How,True
2020-09-02,Heng Swee Keat,True
2020-09-02,Shawn Huang Wei Zhong,True
2020-09-02,Indranee Rajah,True
2020-09-02,S Iswaran,True
2020-09-02,Janil Puthucheary,True
2020-09-02,Amy Khor Lean Suan,True
2020-09-02,Koh Poh Koon,True
2020-09-02,Kwek Hian Chuan Henry,True
2020-09-02,Desmond Lee,True
2020-09-02,Lee Hsien Loong,True
2020-09-02,Leong Mun Wai,True
2020-09-02,Liang Eng Hwa,True
2020-09-02,Lim Biow Chuan,True
2020-09-02,Jamus Jerome Lim,True
2020-09-02,Sylvia Lim,True
2020-09-02,Lim Wee Kiak,True
2020-09-02,Low Yen Ling,True
2020-09-02,Mariam Jaafar,True
2020-09-02,Masagos Zulkifli B M M,True
2020-09-02,Mohamad Maliki Bin Osman,True
2020-09-02,Mohd Fahmi Aliman,True
2020-09-02,Muhamad Faisal Bin Abdul Manap,True
2020-09-02,Dr Muhammad Faishal Ibrahim,True
2020-09-02,Murali Pillai,True
2020-09-02,Nadia Ahmad Samdin,True
2020-09-02,Ng Eng Hen,True
2020-09-02,Louis Ng Kok Kwang,True
2020-09-02,Ng Ling Ling,True
2020-09-02,Rachel Ong,True
2020-09-02,Ong Ye Kung,True
2020-09-02,Joan Pereira,True
2020-09-02,Leon Perera,True
2020-09-02,Denise Phua Lay Peng,True
2020-09-02,Hazel Poa,True
2020-09-02,Poh Li San,True
2020-09-02,Pritam Singh,True
2020-09-02,Raeesah Khan,True
2020-09-02,Rahayu Mahzam,True
2020-09-02,Saktiandi Supaat,True
2020-09-02,Seah Kian Peng,True
2020-09-02,K Shanmugam,True
2020-09-02,Sharael Taha,True
2020-09-02,Sim Ann,True
2020-09-02,Sitoh Yih Pin,True
2020-09-02,Hany Soh,True
2020-09-02,Sun Xueling,True
2020-09-02,Alvin Tan,True
2020-09-02,Carrie Tan,True
2020-09-02,Desmond Tan,True
2020-09-02,Tan Kiat How,True
2020-09-02,Dennis Tan Lip Fong,True
2020-09-02,Tan See Leng,True
2020-09-02,Jessica Tan Soon Neo,True
2020-09-02,Tan Wu Meng,True
2020-09-02,Patrick Tay Teck Guan,True
2020-09-02,Teo Chee Hean,True
2020-09-02,Josephine Teo,True
2020-09-02,Tharman Shanmugaratnam,True
2020-09-02,Tin Pei Ling,True
2020-09-02,Edwin Tong Chun Fai,True
2020-09-02,Vikram Nair,True
2020-09-02,Vivian Balakrishnan,True
2020-09-02,Wan Rizal,True
2020-09-02,Don Wee,True
2020-09-02,Lawrence Wong,True
2020-09-02,Xie Yao Quan,True
2020-09-02,Alex Yam,True
2020-09-02,Yeo Wan Ling,True
2020-09-02,Yip Hon Weng,True
2020-09-02,Melvin Yong Yik Chye,True
2020-09-02,Zaqy Mohamad,True
2020-09-02,Zhulkarnain Abdul Rahim,True
