date,member_name,is_present
2018-01-09,Tan Chuan-Jin,False
2018-01-09,Amrin Amin,True
2018-01-09,Ang Hin Kee,True
2018-01-09,Ang Wei Neng,True
2018-01-09,Azmoon Ahmad,True
2018-01-09,Baey Yam Keng,True
2018-01-09,Chan Chun Sing,True
2018-01-09,Cheryl Chan Wei Ling,True
2018-01-09,Chee Hong Tat,True
2018-01-09,Chen Show Mao,True
2018-01-09,Cheng Li Hui,True
2018-01-09,Chia Shi-Lu,True
2018-01-09,Chia Yong Yong,True
2018-01-09,Charles Chong,True
2018-01-09,Chong Kee Hiong,True
2018-01-09,Desmond Choo,True
2018-01-09,Thomas Chua Kee Seng,True
2018-01-09,Darryl David,True
2018-01-09,Christopher de Souza,True
2018-01-09,Fatimah Lateef,True
2018-01-09,Cedric Foo Chee Keng,True
2018-01-09,Foo Mee Har,True
2018-01-09,Grace Fu Hai Yien,True
2018-01-09,Gan Kim Yong,True
2018-01-09,Gan Thiam Poh,True
2018-01-09,Ganesh Rajaram,True
2018-01-09,Goh Chok Tong,True
2018-01-09,Daniel Goh Pei Siong,True
2018-01-09,Heng Chee How,True
2018-01-09,Heng Swee Keat,True
2018-01-09,Indranee Rajah,True
2018-01-09,Intan Azura Mokhtar,True
2018-01-09,S Iswaran,True
2018-01-09,Janil Puthucheary,True
2018-01-09,Khaw Boon Wan,True
2018-01-09,Amy Khor Lean Suan,True
2018-01-09,Koh Poh Koon,True
2018-01-09,Kok Heng Leun,True
2018-01-09,Kuik Shiao-Yin,True
2018-01-09,Kwek Hian Chuan Henry,True
2018-01-09,Lee Bee Wah,True
2018-01-09,Desmond Lee,True
2018-01-09,Lee Hsien Loong,True
2018-01-09,Liang Eng Hwa,True
2018-01-09,Lim Biow Chuan,True
2018-01-09,Lim Hng Kiang,True
2018-01-09,Lim Swee Say,True
2018-01-09,Sylvia Lim,True
2018-01-09,Lim Wee Kiak,True
2018-01-09,Low Yen Ling,True
2018-01-09,Mahdev Mohan,True
2018-01-09,Mohamad Maliki Bin Osman,True
2018-01-09,Muhamad Faisal Bin Abdul Manap,True
2018-01-09,Dr Muhammad Faishal Ibrahim,True
2018-01-09,Murali Pillai,True
2018-01-09,Lily Neo,True
2018-01-09,Ng Chee Meng,True
2018-01-09,Ng Eng Hen,True
2018-01-09,Louis Ng Kok Kwang,True
2018-01-09,Ong Teng Koon,True
2018-01-09,Ong Ye Kung,True
2018-01-09,Joan Pereira,True
2018-01-09,Leon Perera,True
2018-01-09,Denise Phua Lay Peng,True
2018-01-09,Png Eng Huat,True
2018-01-09,Pritam Singh,True
2018-01-09,Rahayu Mahzam,True
2018-01-09,Saktiandi Supaat,True
2018-01-09,Seah Kian Peng,True
2018-01-09,K Shanmugam,True
2018-01-09,Sim Ann,True
2018-01-09,Sitoh Yih Pin,True
2018-01-09,Sun Xueling,True
2018-01-09,Sam Tan Chin Siong,True
2018-01-09,Dennis Tan Lip Fong,True
2018-01-09,Randolph Tan,True
2018-01-09,Jessica Tan Soon Neo,True
2018-01-09,Tan Wu Meng,True
2018-01-09,Patrick Tay Teck Guan,True
2018-01-09,Teo Chee Hean,True
2018-01-09,Teo Ho Pin,True
2018-01-09,Josephine Teo,True
2018-01-09,K Thanaletchimi,True
2018-01-09,Tharman Shanmugaratnam,True
2018-01-09,Tin Pei Ling,True
2018-01-09,Edwin Tong Chun Fai,True
2018-01-09,Vikram Nair,True
2018-01-09,Vivian Balakrishnan,True
2018-01-09,Lawrence Wong,True
2018-01-09,Dr Yaacob Ibrahim,True
2018-01-09,Alex Yam,True
2018-01-09,Yee Chia Hsing,True
2018-01-09,Melvin Yong Yik Chye,True
2018-01-09,Zainal Sapari,True
2018-01-09,Zaqy Mohamad,True
2018-01-09,Lam Pin Min,False
2018-01-09,Lee Yi Shyan,False
2018-01-09,Low Thia Khiang,False
2018-01-09,Masagos Zulkifli B M M,False
2018-01-09,Teo Ser Luck,False
