date,member_name,is_present
2013-07-09,Nicholas Fang,False
2013-07-09,Fatimah Lateef,False
2013-07-09,Heng Swee Keat,False
2013-07-09,Intan Azura Mokhtar,False
2013-07-09,Janice Koh,False
2013-07-09,Lam Pin Min,False
2013-07-09,Lee Kuan Yew,False
2013-07-09,Mary Liew,False
2013-07-09,Low Yen Ling,False
2013-07-09,Mah Bow Tan,False
2013-07-09,Masagos Zulkifli B M M,False
2013-07-09,Lily Neo,False
2013-07-09,Ong Teng Koon,False
2013-07-09,Png Eng Huat,False
2013-07-09,Tan Kheng Boon Eugene,False
2013-07-09,Jessica Tan Soon Neo,False
2013-07-09,Tan Su Shan,False
2013-07-09,Teo Ser Luck,False
2013-07-09,Halimah Yacob,True
2013-07-09,Ang Hin Kee,True
2013-07-09,Ang Wei Neng,True
2013-07-09,Baey Yam Keng,True
2013-07-09,Chan Chun Sing,True
2013-07-09,Chen Show Mao,True
2013-07-09,Chia Shi-Lu,True
2013-07-09,Lina Chiam,True
2013-07-09,Charles Chong,True
2013-07-09,Christopher de Souza,True
2013-07-09,R Dhinakaran,True
2013-07-09,Faizah Jamal,True
2013-07-09,Arthur Fong,True
2013-07-09,Cedric Foo Chee Keng,True
2013-07-09,Foo Mee Har,True
2013-07-09,Grace Fu Hai Yien,True
2013-07-09,Gan Kim Yong,True
2013-07-09,Gan Thiam Poh,True
2013-07-09,Gerald Giam Yean Song,True
2013-07-09,Goh Chok Tong,True
2013-07-09,Hawazi Daipi,True
2013-07-09,Heng Chee How,True
2013-07-09,Hri Kumar Nair,True
2013-07-09,Inderjit Singh,True
2013-07-09,Indranee Rajah,True
2013-07-09,S Iswaran,True
2013-07-09,Janil Puthucheary,True
2013-07-09,Khaw Boon Wan,True
2013-07-09,Amy Khor Lean Suan,True
2013-07-09,Lee Bee Wah,True
2013-07-09,Desmond Lee,True
2013-07-09,Ellen Lee,True
2013-07-09,Lee Hsien Loong,True
2013-07-09,Lee Li Lian,True
2013-07-09,Lee Yi Shyan,True
2013-07-09,Liang Eng Hwa,True
2013-07-09,Laurence Lien,True
2013-07-09,Lim Biow Chuan,True
2013-07-09,Lim Hng Kiang,True
2013-07-09,Raymond Lim Siang Keat,True
2013-07-09,Lim Swee Say,True
2013-07-09,Sylvia Lim,True
2013-07-09,Lim Wee Kiak,True
2013-07-09,Penny Low,True
2013-07-09,Low Thia Khiang,True
2013-07-09,Lui Tuck Yew,True
2013-07-09,Mohamad Maliki Bin Osman,True
2013-07-09,Muhamad Faisal Bin Abdul Manap,True
2013-07-09,Dr Muhammad Faishal Ibrahim,True
2013-07-09,Ng Eng Hen,True
2013-07-09,Irene Ng Phek Hoong,True
2013-07-09,David Ong,True
2013-07-09,Denise Phua Lay Peng,True
2013-07-09,Pritam Singh,True
2013-07-09,Seah Kian Peng,True
2013-07-09,Seng Han Thong,True
2013-07-09,K Shanmugam,True
2013-07-09,Sim Ann,True
2013-07-09,Sitoh Yih Pin,True
2013-07-09,Sam Tan Chin Siong,True
2013-07-09,Tan Chuan-Jin,True
2013-07-09,Patrick Tay Teck Guan,True
2013-07-09,Teo Chee Hean,True
2013-07-09,Teo Ho Pin,True
2013-07-09,Josephine Teo,True
2013-07-09,Teo Siong Seng,True
2013-07-09,Tharman Shanmugaratnam,True
2013-07-09,Tin Pei Ling,True
2013-07-09,Edwin Tong Chun Fai,True
2013-07-09,Vikram Nair,True
2013-07-09,Vivian Balakrishnan,True
2013-07-09,Wong Kan Seng,True
2013-07-09,Lawrence Wong,True
2013-07-09,Dr Yaacob Ibrahim,True
2013-07-09,Alex Yam,True
2013-07-09,Yee Jenn Jong,True
2013-07-09,Alvin Yeo,True
2013-07-09,Yeo Guat Kwang,True
2013-07-09,Zainal Sapari,True
2013-07-09,Zainudin Nordin,True
2013-07-09,Zaqy Mohamad,True
