Date,MP_Name,Original_MP_Name,Attendance
2021-01-04,He Ting Ru,Ms He Ting Ru (Sengkang).,False
2021-01-04,Masagos Zulkifli B M M,"Mr Masagos Zulkifli B M M (Tampines), Minister for Social and Family Development, Second Minister for Health and Minister-in-charge of Muslim Affairs.",False
2021-01-04,Raeesah Khan,Ms Raeesah Khan (Sengkang).,False
2021-01-04,Tan Chuan-Jin,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)). ,True
2021-01-04,Ang Wei Neng,Mr Ang Wei Neng (West Coast). ,True
2021-01-04,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Minister for Transport. ",True
2021-01-04,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry. ",True
2021-01-04,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (East Coast). ,True
2021-01-04,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Foreign Affairs and Transport. ",True
2021-01-04,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2021-01-04,Edward Chia Bing Hui,Mr Edward Chia Bing Hui (Holland-Bukit Timah). ,True
2021-01-04,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2021-01-04,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2021-01-04,Eric Chua,"Mr Eric Chua (Tanjong Pagar), Parliamentary Secretary to the Ministers for Culture, Community and Youth and Social and Family Development. ",True
2021-01-04,Chua Kheng Wee Louis,Mr Chua Kheng Wee Louis (Sengkang). ,True
2021-01-04,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2021-01-04,Christopher de Souza,"Mr Christopher de Souza (Holland-Bukit Timah), Deputy Speaker. ",True
2021-01-04,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2021-01-04,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Sustainability and the Environment. ",True
2021-01-04,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2021-01-04,Gan Siow Huang,"Ms Gan Siow Huang (Marymount), Minister of State for Education and Manpower. ",True
2021-01-04,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2021-01-04,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied). ,True
2021-01-04,Derrick Goh,Mr Derrick Goh (Nee Soon). ,True
2021-01-04,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence. ",True
2021-01-04,Heng Swee Keat,"Mr Heng Swee Keat (East Coast), Deputy Prime Minister, Minister for Finance and Coordinating Minister for Economic Policies. ",True
2021-01-04,Shawn Huang Wei Zhong,Mr Shawn Huang Wei Zhong (Jurong). ,True
2021-01-04,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Finance and National Development and Leader of the House. ",True
2021-01-04,S Iswaran,"Mr S Iswaran (West Coast), Minister for Communications and Information and Minister-in-charge of Trade Relations. ",True
