date,member_name,is_present
2015-03-05,Halimah Yacob,True
2015-03-05,Ang Hin Kee,True
2015-03-05,Ang Wei Neng,True
2015-03-05,Baey Yam Keng,True
2015-03-05,Chan Chun Sing,True
2015-03-05,Chen Show Mao,True
2015-03-05,Chia Shi-Lu,True
2015-03-05,Chia Yong Yong,True
2015-03-05,Lina Chiam,True
2015-03-05,Charles Chong,True
2015-03-05,Thomas Chua Kee Seng,True
2015-03-05,Christopher de Souza,True
2015-03-05,Fatimah Lateef,True
2015-03-05,Arthur Fong,True
2015-03-05,Cedric Foo Chee Keng,True
2015-03-05,Foo Mee Har,True
2015-03-05,Grace Fu Hai Yien,True
2015-03-05,Gan Kim Yong,True
2015-03-05,Gan Thiam Poh,True
2015-03-05,Gerald Giam Yean Song,True
2015-03-05,Goh Chok Tong,True
2015-03-05,Hawazi Daipi,True
2015-03-05,Heng Chee How,True
2015-03-05,Heng Swee Keat,True
2015-03-05,Hri Kumar Nair,True
2015-03-05,Inderjit Singh,True
2015-03-05,Indranee Rajah,True
2015-03-05,Intan Azura Mokhtar,True
2015-03-05,S Iswaran,True
2015-03-05,Janil Puthucheary,True
2015-03-05,K Karthikeyan,True
2015-03-05,Khaw Boon Wan,True
2015-03-05,Amy Khor Lean Suan,True
2015-03-05,Kuik Shiao-Yin,True
2015-03-05,Lam Pin Min,True
2015-03-05,Lee Bee Wah,True
2015-03-05,Desmond Lee,True
2015-03-05,Ellen Lee,True
2015-03-05,Lee Hsien Loong,True
2015-03-05,Lee Li Lian,True
2015-03-05,Lee Yi Shyan,True
2015-03-05,Liang Eng Hwa,True
2015-03-05,Lim Biow Chuan,True
2015-03-05,Lim Hng Kiang,True
2015-03-05,Raymond Lim Siang Keat,True
2015-03-05,Lim Swee Say,True
2015-03-05,Sylvia Lim,True
2015-03-05,Lim Wee Kiak,True
2015-03-05,Penny Low,True
2015-03-05,Low Thia Khiang,True
2015-03-05,Low Yen Ling,True
2015-03-05,Lui Tuck Yew,True
2015-03-05,Mah Bow Tan,True
2015-03-05,Masagos Zulkifli B M M,True
2015-03-05,Mohamad Maliki Bin Osman,True
2015-03-05,Mohd Ismail Hussein,True
2015-03-05,Muhamad Faisal Bin Abdul Manap,True
2015-03-05,Dr Muhammad Faishal Ibrahim,True
2015-03-05,Lily Neo,True
2015-03-05,Ng Eng Hen,True
2015-03-05,Irene Ng Phek Hoong,True
2015-03-05,David Ong,True
2015-03-05,Ong Teng Koon,True
2015-03-05,Denise Phua Lay Peng,True
2015-03-05,Png Eng Huat,True
2015-03-05,Pritam Singh,True
2015-03-05,Seah Kian Peng,True
2015-03-05,Seng Han Thong,True
2015-03-05,K Shanmugam,True
2015-03-05,Sim Ann,True
2015-03-05,Sitoh Yih Pin,True
2015-03-05,Rita Soh Siow Lan,True
2015-03-05,Benedict Tan,True
2015-03-05,Sam Tan Chin Siong,True
2015-03-05,Tan Chuan-Jin,True
2015-03-05,Randolph Tan,True
2015-03-05,Jessica Tan Soon Neo,True
2015-03-05,Tan Tai Yong,True
2015-03-05,Patrick Tay Teck Guan,True
2015-03-05,Teo Chee Hean,True
2015-03-05,Teo Ho Pin,True
2015-03-05,Josephine Teo,True
2015-03-05,Teo Ser Luck,True
2015-03-05,Tharman Shanmugaratnam,True
2015-03-05,Tin Pei Ling,True
2015-03-05,Edwin Tong Chun Fai,True
2015-03-05,Vikram Nair,True
2015-03-05,Vivian Balakrishnan,True
2015-03-05,Wong Kan Seng,True
2015-03-05,Lawrence Wong,True
2015-03-05,Dr Yaacob Ibrahim,True
2015-03-05,Alex Yam,True
2015-03-05,Yee Jenn Jong,True
2015-03-05,Yeo Guat Kwang,True
2015-03-05,Zainal Sapari,True
2015-03-05,Zainudin Nordin,True
2015-03-05,Zaqy Mohamad,True
2015-03-05,Lee Kuan Yew,False
2015-03-05,Alvin Yeo,False
